,Unnamed: 0,rating,userName,review,title,isEdited,date,Positive,Negative,Neutral,Compound,Sentiment
0,0,5,Nick82587,credit limit around 7000 used around 23 limit paid back one lump sum reason barclays lowered credit limit 300 without even talking im bothered im going change bank principle though especially strange got high limit earning much le money ironically promotion month ago far money according experian credit rating also one level excellent top rank actually hoping would go excellent couple month paid card loyal barclays feel owed courtesy phone call messing finance may legally entitled barclays aware lack conversation took unfounded action close account longer trust monthly earnings,No communication,False,2020-07-17 05:59:22,0.284,0.072,0.644,0.972,Positive
1,1,3,BrightBoy03,top range ipad automatic update definitely best version ipad app however include functionality one phone example go manage account phone section statement letter preference ipad app also chat function ipad slow dont know caused app due lack availability staff however spent 50 minute chat taken 510 minute agent repeatedly left joined conversation unbearably long gap solve problem getting statement issue able take care mentioned agent told update app already date later realised ipad app feature telling look hence ipad app good real shame easier view everything agent well trained functionality apps enough staff remain five minute conversation happy,Not as comprehensive as the phone app,False,2022-01-04 07:41:01,0.211,0.068,0.721,0.9442,Positive
2,2,3,weltschmerz87,app useful kind thing payment money management access document helpful smart investor information available additional functionality thing stop smart investor facility completely helpful way calculates display percentage change whole portfolio year since start account currently increase value account since started compared book value xxxx accurate display percentage change bracket 4 odd increase cannot percentage decline percentage change figure change whole portfolio day change time individual asset completely accurate rang help line saw discrepancy thought held account le year longer year discrepancy money value increase percentage change remains keep data place get accurate view overall value,Smart Investor information display,False,2021-01-05 16:17:45,0.325,0.037,0.638,0.9845,Positive
3,3,4,Lamarinar,upgraded latest ipad app day ago version 226 version slow recent one still give login screen cant enter anything refreshes login thing annoyed logout button available unless go button bottom screen tried several time use contact email button top first screen bomb go screen asking login detail written line also tried online chat button several time recently always end directed 0333 banking number 20 minute decide cant help tried calling phone today spoke someone 10 minute told would pas someone else hold cut 5 minute far see barclays become uncontactable 50 year barclays afraid time go elsewhere sad day barclays customer,Barclays App,False,2017-08-16 19:22:41,0.028,0.121,0.85,-0.8795,Negative
4,4,3,will_col85,1 remove stupid video login screen needed appears slow app phone doesnt actually anything banking app first place cant tell much despise video make want delete app login via safari edit worked press question mark login page turn animationvideo wish video wasnt begin honest 2 choice remove distraction home page able turn thing like offer different product barclays offer want simple app banking logged want account nothing else 3 want get app development team meeting room really drill purpose app well tell people quickly access financial information make payment etc short period time anything distracts app see previous point,Too many distractions,False,2021-11-17 16:47:32,0.133,0.1,0.767,-0.1195,Negative
5,5,5,UKTroll,app continues improve functionality doesnt seem pay much attention detail user interface biggest bugbear still logout accessed going menu although youre theory logged quit app barclays stress importance logging properly isnt feature main page niggles include data entry example want transfer fund account select two account field amount point keypad pop iphone obscures amount youre typing unless scroll window easy thing avoid programming stage smack rush get new feature without thorough testing barclays crack fine detail theyll turn good app superb one certainly make banking much easier,"Very good, though Logout still a pain.",False,2017-12-01 08:05:21,0.237,0.048,0.715,0.9509,Positive
6,6,5,Anton soubriquet,useless bank counter staff backup staff resident business manager reliant app pay cheque 2 year waiting still cant pay app local branch reduced opening hour wont accept envelope paying slip letterbox like november last year mean separate journey time pay parking walk half mile put one cheque said staff said post slip err cant app err cant even confused coming app content stripping away every possible customer interface beyond minimum barclays wrecked become generic faceless internet company first bank reinstates staff actually manager business manager personal banker proper setup wipe floor current barclays model,Gets worse all the time,False,2019-04-30 05:43:32,0.06,0.092,0.849,-0.3009,Negative
7,7,3,Hug0max,app good chat facility good agent leave hanging reply 10 minute without letting know ghost extremely frustrating direct call work go many option often end back beginning told use chat line cut app issue still linked tech side barclays shoddy best absolutely use older people today waited hold 1hour 33minutes giving wasted time phone battery stressed waiting lost continue layout account transaction confusing jumbled even show incorrect information like date app need updating constantly week week think struggling glitch overall good app doesnt make whats behind curtain barclays service getting worse unfortunately barclays sort,Good App but constantly needs updates.,False,2021-08-30 02:28:41,0.163,0.203,0.635,-0.4274,Negative
8,8,1,Mosiami87,totally appalled service level delivered app called live chat barclays really give damage help initiate chat agent join chat take anything 05 min many encounter average join time 4min sent automated machine instructing dont inactive 30sec chat end fine person end responsive however barclays app agent join send text take 38 min respond entire time losing cannot move hand screen end chat start new agent explain seem small often enough lose lot time waiting responsive agent barclays could take page bank 21st century us combination bot personnel keep customer engage priority customer experience thought gone app improvement made customer support appalling deserves le 0 rating,Worst online customer support by any standard,False,2020-11-15 21:49:39,0.189,0.133,0.679,0.6445,Positive
9,9,3,bobwil5on,functional part good user experience get job done useful multiple account barcleycard see everything place bypassing security check calling within app also really quality feature fall offer frequent actually require one balance transfer money transfer loan overdraft always get error message happened frequently im sure functionality behind ad actually exists also business barclaycard cannot add app like regular one passed four separate team told would uninstall app reapply add card lose core functionality 10 day might fix problem pretty poor never heard completely uninstall app reapply update great way great others may better user signing newer build,"Pretty, pretty, pretty good",False,2018-02-23 08:45:58,0.203,0.109,0.688,0.9098,Positive
10,10,1,Barclays hater!!,swapping bank account still big decision sometimes tempted mobile banking apps cheque photographing facility amount time refuse accept photo shocking regularly stop throwing phone never difficulty lloyd business account barclays photo facility take photo dont want weird angle even phone level cheque need perfect light barclays sort see lloyd one performs youd hope would sort act plus side aspect pleasure use give one star though sheer frustration feel trying use cheque photo function contact barclays forget tried complete utter waste time result losing one live shameful customer service cant even ring head office get put someone tech team even finding phone number take initiative dont want know abysmal fk firm like lost sense personal service,Infuriating!,True,2021-04-02 16:26:20,0.143,0.18,0.677,-0.4922,Negative
11,11,5,Songpal user,dont usually leave review app helped business much since chose barclays starting business many thing worried app soon put bed pay software elsewhere create invoicing template stored one place excellent able pay cheque app rather take time working day get branch make thing much easier efficient one payment chip pin machine people option pay great option bank offering deciding go im pleased feature barclays app dont feel like there much could improve would highly recommend anyone jfbrookes,Helping my business,False,2020-10-31 08:33:35,0.261,0.088,0.651,0.9567,Positive
12,12,5,Mahmut Canga,due auto locking screen sending user way back beginning every time app backgrounded impossible send payment someone new using app every time note payment detail paper manually enter payment form cannot even copy paste payment detail form think dreadful experience ever seen app sake security user experience suffers lot use pen paper every time adding new payment detail point app please stop auto lock feature least user opt inout really issue long time still use app due existing account im thinking move monzo together including business account due really poor app experience,The worse app for sending payment,False,2018-12-22 09:30:07,0.046,0.113,0.841,-0.7841,Negative
13,13,5,S Townrow,barclays mobile banking app changed banking completely past struggled keeping date spending check balance time shopping bill due go internet shopping give complete control finance also appreciate able transfer money current account saving account mean rarely visit branch everything need phone would give app five star could enabled budget said complete control finance enabled improve style spending hopefully future improve credit rating account activity see banking app made massive difference life thank barclays,Sarah Dickinson: Barclays banking app,False,2018-12-29 12:54:25,0.192,0.032,0.777,0.9122,Positive
14,14,3,Sparky_uk,ok short sweet review app generally good covering area online banking could possibly need although ive found struggle sometimes showing account balance think thats server issue app problem time fine cheque paying feature something looking forward using nightmare get branch sometimes pay odd cheque compared trying app doddle app feature total waste time matter long try orientation phone cheque even never take good enough photo keep asking try againthe photo grid place unstableive tried light background dark background make difference total rubbish good try barclays need huge improvement functional feature,Generally very good but don’t try and use the cheque pay in feature!!,False,2020-09-20 17:57:45,0.202,0.105,0.693,0.8625,Positive
15,15,1,ACVK11,long time numerous problem barclays often cancelling card fraud without telling sending new one happened 5 time customer service branch phone generally useless normally sending back dont know made mess upgrading account switching student graduate frequently period unable access anything said long app redeeming feature found easy use although clunkier pure digital bank like monzo always useful tool however recently changing account stopped working matter reregister online branch get various error code pinsentry app doesnt work cant even access account internet cancelled card recently card access account saying long time ive wanted change account final straw,Worst Bank there is,False,2019-03-15 19:08:04,0.103,0.158,0.74,-0.7343,Negative
16,16,5,lea farm fotos,app work fine unless forget passcode way reactivate app reregister new account app old phone removed first account cant access account forgotten old passcode cannot delete mobile number way proceed register another mobile number one impossible contact anyone barclays speak resolve update failing get response automated online helpline resorted making costly phone call spoke mark although could solve problem time give enough help resolve issue later app working still work 24hr online help facility,One big flaw!,True,2021-06-29 07:02:21,0.179,0.133,0.688,0.6276,Positive
17,17,1,Hazellllllllllllllllllll,never seen mobile banking app like app built decoration already painful wait line reach someone would expect app compensate course chat function horrendous someone connected 1 min drop another person get connected dont focus solving issue simply dont care happen call customer service number listen 10 min nonsense telling contact via chat function app faster effective service app freeze time well give random error downloading statement doesnt even allow special character name everyone use alphabet guess nightmare world pinsentry century lot country used different bank stuff utterly jaw droppingly primitive experience people dont deserve waste time time precious fyi,Painful process,False,2022-01-06 01:22:35,0.157,0.187,0.656,-0.6864,Negative
18,18,1,Agg 123,version worse previous one maybe would appreciate im 80 need glass see much spent feed cat recently seriously need quick glance recent transaction mobile screen everything magnified see 23 transaction seriously brain hurt look screen awful useless practical bring old looking scream back reply back hi think app need update iphone magnifying setting work automatically everything chosen app one tried reduce size letter see barclays display previously also automatically scale lettering apps best would leave app elderly fix size letter phone setting preferable want magnify everything one every app ormaybe enable something like within app setting phone dont know possible,Magnified screen,True,2021-11-20 01:21:46,0.09,0.166,0.744,-0.7845,Negative
19,19,4,Kam the man Zaman,app fantastic keyboard chat bad make blood boil point actually shout phone usability hell even annoying rush emergency keyboard adding woe im sure youre breaking accessibility rule someone would say physically mentally able put someone shoe may physical impairment disability affect ability use keyboard ineffect discriminated thus limiting people access service actually quite serious matter work digital web app development accessibility something people giving attention needed thats bad product management bad user experience actually shocked product manager ux designer hasnt noticed done wouldnt writing review,Keyboard lets this app down,False,2017-10-28 20:27:51,0.109,0.246,0.645,-0.9443,Negative
20,20,5,Stupid child!,ive always liked banking app quick simple use barclays gone spoilt ease app stupid extra function dont need extra information balance screen mean scroll pay transfer button merged font size big scroll many large font payee get correct one done add time transaction scrolling constantly grr ive looked see change size font cant see anything fiddle something work developer time hand think know ill change stuff annoy regular user plus side like search function,Rubbish upgrade,False,2017-11-17 16:40:37,0.126,0.12,0.754,0.128,Positive
21,21,1,Barclays Iphone App User,app working well iphone verification new account number make payment fails correct account number bad enough try tell using app cannot button submit suggestion appear button appearing happens app try little trick get working unacceptable really subpar development work even worst testing project management update developer iphone x latest o form apple error message bank account number field add new payee page show x instead tick matter bank account enter although might work barclays bank account tried bank either way indicates verification work issue button appear error message simply dont show cannot scroll cannot hide keyboard try reach,Not working,True,2020-05-12 06:29:48,0.084,0.183,0.733,-0.9422,Negative
22,22,1,Ezahra,used app year every update time improvement time gone backwards stupid unnecessarily large font look like glitch longer click pending transaction view nothing show anymore used useful tool check card payment specific place gone earmarked also check hadnt clonedscammed super quickly shopping using lot tillscashpoints new update really disappointing erased useful thing app fantastic user friendly app also hate way forced update continue using app prior warning one day try log say need update continue using app blue might somewhere access wifi send money friend check balance suddenly find cant get account without updating bloody annoying,Hate New Update!,False,2021-11-27 08:42:46,0.206,0.152,0.642,0.7027,Positive
23,23,4,Revierererer,app good far suggestion improvement payment multiple account visible including barclaycard taken use maybe month would use lot daily spending analytics better user friendly feel would really enhancethe user experience enable take better control finance id like see month month chart like timeline clear score app balance spending id also like able categorise merchant ever shop place would wan able put merchant category way many click understand money going load really good spending apps barclays could take look inspo function really lacking,Good but needs better spending analytics,False,2020-06-27 08:43:46,0.279,0.0,0.721,0.9774,Positive
24,24,4,colours whir,convenient checking balance moving money paying bill reason whenever open app come message saying process cant completed let log anyway there supposed option scan cheque get cleared faster ive used direct call couple time enquire transfer technical team turn put hold wait long end hanging cheque pretty much redundant day far personal banking concerned however many business still make payment way think clearance cycle 5 working day way long whole app work need far ive found customer service people helpful efficient addressing issue whenever ive used direct call facility,Good but room for improvement,False,2017-10-27 20:41:13,0.108,0.0,0.892,0.8481,Positive
25,25,2,8ballpuffter,using app much easier logging online banking however logged app 5 minute earlier randomly unregistered made register didnt seem want accept log detail made go whole rigmarole upload passport photo also driving licence wanted face id video totally unneseccary logged app 5 minute also careful downloaded app camera setting automatically set allow barclays access camera make sure check switch dont want give barclays bank access camera overall rubbish app throw app random make reregister face id sneaky password enough day carrying contactless card swipe anywhere random secure apparently,Rubbish!!,False,2021-07-18 08:25:11,0.116,0.069,0.815,0.6675,Positive
26,26,1,robertgarvie,barclaycard fell app month ago trying get back ridiculous another 45 minute phone forward load stupid online app chat help useless date info received email response feedback barclays asking contact via twitter use app chat dont twitter tried app chat great got useless help information closer getting app working properly app notify latest statement available wont let view hell point month month later without change barclays decide phoning asking log app view something important barclaycard going somehow help noted account ive previously complained account falling app still get asked use app called bad day already ragen doubt making complaint make difference never know,What a joke,True,2021-10-07 17:16:51,0.136,0.185,0.679,-0.6526,Negative
