,Unnamed: 0,reviewId,Bank ,userName,userImage,review,score,createdat,Positive,Negative,Neutral,Compound,Sentiment
0,0,gp:AOqpTOFoVIqHJy98McbAqzul8Su5uvCtPbXAOWLuSNoK2iCFfZ091nV-y3BgXEGJdP-2_FZZdTcpIRvGk0ZL6Q,Barclays,GM DODD,https://play-lh.googleusercontent.com/a/AATXAJz4fG7_OUKC1pA4DpsC88DQCgStxYjXNgFqgFiu=mo,good easy use appears quite secure,5,13/02/2022 19:09,0.739,0,0.261,0.8173,Positive
1,1,gp:AOqpTOFb6Yku2q1B22BYGtb9WyudP48bubPguJgsKJ-6P7epZbpHwMnLIUiUM3xO9SZX4FoL6UiaABaL2yR25Q,Barclays,Ray Phillips,https://play-lh.googleusercontent.com/a-/AOh14GiHyAwYvaY0j-5UBO1FioWDNarIrHDkYcqfgwfk,trying register online banking put 16 digit card number say card number incorrect im copying card,1,13/02/2022 16:46,0.157,0,0.843,0.1531,Positive
2,2,gp:AOqpTOGuocQfqXF5KWilhYKgH_44x4I6BUvediUbn09jopD8Fw-yWNidHaNaokCWJjtXnqrn6sfNCjG1Np3KVQ,Barclays,Derek Francis,https://play-lh.googleusercontent.com/a/AATXAJyVczHrm52wBHBVwupEifNanWM2xLAFUExNSW-X=mo,contactless via mobile phone worse poorcannot make app work consistently poor compared banking apps,1,13/02/2022 16:31,0,0.341,0.659,-0.7351,Negative
3,3,gp:AOqpTOGIg_GPys9KU572qpMp1OXada3E9ZmUoYK7svRBbLlNdDrkOQdHaw-AGTwt88TjDRe6xfECJ3NBfSEN-A,Barclays,David Howker,https://play-lh.googleusercontent.com/a/AATXAJyogEHRNAK9qqMtOGQSp-4sZx8d_P5in_TjQ2cv=mo,easy use,5,13/02/2022 16:06,0.744,0,0.256,0.4404,Positive
4,4,gp:AOqpTOGt6r7yM-BfjnoGZ-6LpSxRLcGXfq7E6p42CWlZo-YC-MrW9osEmHYAnqMLgi-iAaJlnfN0Wk2-aSKGWg,Barclays,Constance Ncube,https://play-lh.googleusercontent.com/a/AATXAJyu2GzvFFnGV6kxkJ9kdar8qTga-V_gJvFq0SzB=mo,easy use security great,5,13/02/2022 15:55,0.904,0,0.096,0.8555,Positive
5,5,gp:AOqpTOFS1P2pK8XVIES0jRdZ6GBaHowqtSYhcbQK_VrkWA3lzJLbJeb2Hc3BlFzbY3J0bvryVJgy-zJJeEeg2A,Barclays,Jodi Whitmore,https://play-lh.googleusercontent.com/a/AATXAJx20qpjV2QOvshCNvoNpsE9eK453U557jAlOEVc=mo,quick easy use especially im good computer,5,13/02/2022 15:53,0.549,0,0.451,0.7251,Positive
6,6,gp:AOqpTOEZiTpM0RUvIFOBBuxR48j-4e8HKzsmkuLuGZWMSLShUcFxU8mVOeW0CARzah_uBC_jNdY107lg6PhUzg,Barclays,Colin Ashworth,https://play-lh.googleusercontent.com/a/AATXAJyIYpA7atMqIZ8kPQPPiQtYeOwxivhk_UVusAqN=mo,great app much easier logging pc constant offer however rather annoying,5,13/02/2022 15:47,0.392,0.153,0.455,0.6369,Positive
7,7,gp:AOqpTOEeBTXcU9KAYwSRXtcamyaMz0Y_2fwKmbQ-fe1Jc0BfwgsOql7MIEQtQFRp73ugtvVQ5067S3f0-iqt5g,Barclays,Jacqui Tremaine,https://play-lh.googleusercontent.com/a/AATXAJxmyRlgsrosHVv0s3FYRvwokOHAUKdeAFeYfohF=mo,brilliant simple use interesting info,5,13/02/2022 15:42,0.684,0,0.316,0.7579,Positive
8,8,gp:AOqpTOGMZmIY6SzJFSLbVLAHJB-6JmjCbLhpjRcuABMMA-6FuD5GyD3XxwSg7GtRXOF6yZF_1DFScZdI2ozNhA,Barclays,P MR,https://play-lh.googleusercontent.com/a-/AOh14GgqGhB8hbvsIu4qxnbT87fmIFaGptxb45xQL4lEXQ,terrible ui confusing,2,13/02/2022 15:16,0,0.833,0.167,-0.6124,Negative
9,9,gp:AOqpTOG_QzX4XpfH0vi8Ab8sHc3Q7aDeRv2qWH5vRIYt6NRyXs0fCxcVCXTZ6_0C-gmWGgQRH8wQgGmnDmsg-w,Barclays,James Page,https://play-lh.googleusercontent.com/a/AATXAJzEFWEtDJLv5bfKcDTPR6gUGLxFKunL97XUZXI6=mo,good,5,13/02/2022 14:18,1,0,0,0.4404,Positive
10,10,gp:AOqpTOGXPMgiSedeLsiXFEpN1vKnwNCyrMGjseGkujP5gUtvqWBMpY4882M9-Q9dM_hvYMpy8ieDM3UYaFMBog,Barclays,Jarren Jamie,https://play-lh.googleusercontent.com/a-/AOh14GisCZJkAV-0O4czv1tI14zSJ7dpdsyquu96ZGENZhw,carlsberg made bank barclays would one,5,13/02/2022 13:34,0,0,1,0,Neutral
11,11,gp:AOqpTOEBHxJ0SI3VvLuBwxmck28tQ2W-Awpym8ZrJxi4V58MWi98KnB4vI4-QDVFyXQPI1yKPBrFUzATW3GtSg,Barclays,Richard Whiteman,https://play-lh.googleusercontent.com/a-/AOh14GhPND_D4_qFtGtWa-cIhKcDVm70mJUzykJJI7DM0-s,good fails allow pay cheque take cheque certain bank,5,13/02/2022 13:29,0.457,0.278,0.265,0.4019,Positive
12,12,gp:AOqpTOFASWg2wvF1A5nsi2Q8O4KtGndRC3qTi_tcCGHpoomaoSBpGVNMg6mK8i6lu8oqcDAyMFaCaAcKf8AuJw,Barclays,louise smith,https://play-lh.googleusercontent.com/a-/AOh14GhtmzwD88nQtgfRh_QDn1jkNiNfr2jIysBRdX5w,trying contact barclays set account daughter cant access video banking app app useless,1,13/02/2022 13:15,0,0.189,0.811,-0.4215,Negative
13,13,gp:AOqpTOFnBX2eJKvEPumxJBRDN6uWcvsv-E1HL9V1rDOIil8z0-hJlxazOZQPdEnw5vOGFIoR9psn_DIftYj4ZA,Barclays,Ansar Mahmood,https://play-lh.googleusercontent.com/a-/AOh14Gj4UMdXTFSaIa634_SGfVcdwHqRuGw17m5x-1T88Q,excellent app,5,13/02/2022 13:09,0.787,0,0.213,0.5719,Positive
14,14,gp:AOqpTOG_YBjJWrGh4z5QSJWjcpJErv00HQLHqdW-tvVhP-5BOTnLv_TWKwTwlZbESZlAhr0Au6lbb-0VFahpJQ,Barclays,Caroline Joyce,https://play-lh.googleusercontent.com/a/AATXAJy8b8NT6I9SBA54raqYx9EMvPViSkEjJV6Nloyy=mo,great except get notification even though phone enabled,4,13/02/2022 13:08,0.369,0,0.631,0.6249,Positive
15,15,gp:AOqpTOEoBtRJj_GQRJuf2zfDTI843Ugpd5aS-MYUG-C2nfGkLf4DH3gyvMBrAODysd0lCL4x-PQ2NXEPpdyQTA,Barclays,Ive Mendes,https://play-lh.googleusercontent.com/a-/AOh14GjTDiDJ8l7FMfrnSt_QwN-Cx19KUJKBbkSQ3I3FNA,great service really help could cope without fast secure blessing easy use used internet,5,13/02/2022 13:05,0.422,0.197,0.38,0.7453,Positive
16,16,gp:AOqpTOHwLg1IgM41giLW9NDHv-O1dufodpvCz3CkOGbOa-hvH6lzhZ9EZv0a3xsRiuFJiqlnBhtQbG0dDb4zrA,Barclays,Lawrence McNally,https://play-lh.googleusercontent.com/a/AATXAJz863SjZZRNqFrprT6_tm-DKMtFqcSMA94yCdHx=mo,quick feel secure,5,13/02/2022 12:59,0.545,0,0.455,0.34,Positive
