,review,userName,title,date,developerResponse,isEdited,rating
0,"The app does not allow you to move a direct debit from one Bank  of Scot account to another  in the same account holders name Telephone  banking doesn’t allow it either. You need to go to a branch and very few staff work in branch meaning long waits.
I discovered this when l could not do it online. Phoned the contact centre to get the most unhelpful person who spent one hour talking to me advising of all she couldn’t do. I had to go to a branch and after the wait the matter was sorted . The bank provides contradictory’s advice. Contact centre advises it’s the customers job to contact the company to be paid by direct debit however the branch can transfer a DD from one account to another.
Online banking cannot do this.
Let’s look at this please and bear in mind Customer Service is important 
ONE hour into a contact centre to be provided with no assistance is unacceptable",Darcydog1234,Good but always ways to improve,2019-10-20 10:19:42,"{'id': 24554317, 'body': ""Thank you for your review, we were pleased to hear you go the issues with your online banking sorted out following your visit to branch. Since you left this review in 2019, we've made a lot of improvements to our app. We'd love to know what you think. ~ Emma"", 'modified': '2021-08-17T10:50:01Z'}",False,5
1,"All I want is to be able to come on the app and see plainly my accounts and their balances.

Instead all you log on and see is a messy interface with ads, irrelevant information modules I don’t need or want to see and buttons all over the place. It’s a mess. I just want it to be simple. Log in, see my accounts on the page with no ads or boxes separating them unnecessarily. If you want to give information out them on a separate page cause the extra ad boxes and icons just make your homepage look a confusing mess of an interface. It’s just not needed. Neither are the new “quick buttons” or whatever they are that now show under each account. They just clutter the page and make it look messy. They aren’t needed, these options were easily accessed in the regular way prior.

It’s funny that this is not shown on your App Store screenshots either. THIS is what I want, what you advertise it looking like on the App Store, but that’s not what it looks like in real life, it looks like that with boxes and ads in between all your accounts with no way of turning this off or opting out.",danny_c,Messy interface,2020-05-19 21:56:23,"{'id': 24554303, 'body': ""Thank you for your review. We work hard to ensure that our app is simple and easy to use.  We'll be sure to pass your improvement suggestions to our development teams. ~ Emma\r"", 'modified': '2021-08-17T10:49:08Z'}",False,2
2,"Your Private Banking service has caused me to believe that customers with substantial sums at the bank are neglected and overlooked.
I have this impression after years of loyalty with BoS.
Other banks are so much more customer focussed, looking at ways of assisting in increasing wealth and security. I have only ever experienced BoS as a bank of self-interest. Nobody has even asked what I would want to do with the millions lying practically dormant in a deposit account.
My recent experience of communication, especially with regarding to a recent major bank account fraud has left me wondering where I should transfer all my funds as the security procedures in the bank are not as solid as advertised and you are simply not interested in me as a private banking customer.",Aboomah,No contact,2019-11-08 15:50:29,,False,5
3,"Having received a message from a recipient to say that the payment I had sent had not been received, I looked on my app to see the payment hadn’t been recorded as sent.  If I had looked closer at that point, I would have noticed my balance had changed although payee not recorded.  I paid her again - still no record on the app.  I checked balance to see both payments had been debited.   I contacted the bank to be told that the app wouldn’t be updated until 1st July because it was the end of the month and the weekend 😱.   The transaction has not shown up in the payee’s account and her balance hasn’t changed.   I was advised to check my desktop.  I don’t have my account on the desktop and it is a busy Sunday morning.  
This app is not an improvement on the previous one and I am left to ponder where in the ether my double payment is - left my account, not in the payee’s account, although both times I was informed payment was successful and would appear in the recipient’s account immediately.",Mabivy,Updates are antiquated,2019-06-30 06:50:51,"{'id': 24554308, 'body': ""Thank you for getting in touch, and we hope that this transaction issue was resolved for you.  Since you left this review in 2019, we've made a lot of improvements to our app. We'd love to know what you think. ~ Emma\r"", 'modified': '2021-08-17T10:49:25Z'}",False,2
4,"Don’t even attempt to call them to help or explain why you can not transfer YOUR money. Apparently it’s a bug but zero explanation or time given for a fix! Only exasperated by the fact it’s week three and my new card still hasn’t arrived nor was it ordered three weeks ago AGAIN don’t expect an explanation or a reason because Bank of Scotland apparently don’t provide reasons, just a poor banking service. However, the rude call handler will transfer your money for you, it only takes 11 minutes and you get the pleasure of speaking to someone with a bad attitude and complete lack of social skills but hey you also get to be reminded repeatedly that you can also just log on using a PC. Hello 2018",MILLENNIALWITHOUTACARD,Poor app. Poor service.,2018-10-24 19:21:42,"{'id': 24554326, 'body': ""Thank you for your review, and we were sorry to hear about the concerns  you had in 2018.  We have made a lot of improvement to our app since that time, and we'd love to know what you think. ~ Emma"", 'modified': '2021-08-17T10:50:44Z'}",False,5
5,"It’s crazy that, in this day and age, to utilise the app for paying off your credit card you have to open a bank of Scotland current account. I already have 3 current accounts - I don’t need another one just to appease bos! So as a result I’m in unable to pay off any of my credit card balance without logging in and paying through the website. And for someone that clears off balances whenever I have free funds ad-hoc (not a specific regular direct debit which is the only option for me) is incredibly inconvenient. Very poor. 

Please allow debit card payments to pay off credit card balances in-app! Barclaycard’s app was FAR more user friendly than this app which is basically just a balance checker unless you also take out their current account, pay into that from your main current account THEN pay the credit card balance from in the app! Bonkers system. Sort it out. At this stage i regret the move from Barclaycard MASSIVELY.",Paul-d-88,Support for non BOS payments,2018-12-28 09:52:58,"{'id': 6616295, 'body': 'Hi, thanks for leaving us a review. We are always looking at ways to improve the App and your feedback is appreciated. Simon', 'modified': '2018-12-31T11:07:39Z'}",False,1
6,"This most recent iteration of the B of S app. shows continued innovative efficient development, delivering a tool that is a pleasure to use and appears to be at the cutting edge of the modern technology, and to me, so way ahead of the other banks that I use.
A high level of common sense has been brought to bear to deliver security you can trust, whilst keeping it at a minimal and simple to use level.
With other competitors I find that, in their efforts to demonstrate high security, the process has become confusing, laborious and time wasting!
Congratulations to B of S, whom I am proud to have stuck with, through thick and thin, since I joined at the age of 19, when I first went to Dundee University, in October 1972!",ernestpiper,Bank of Scotland banking App.,2019-08-14 15:34:54,"{'id': 24554334, 'body': ""Thank you for your review!  We were pleased to hear that you are proud to bank with us.  We've made a lot more improvements to our app since you left this review in 2019, we'd love to know what you think. ~ Emma"", 'modified': '2021-08-17T10:51:10Z'}",False,5
7,"Ok, hopefully now I have your attention developers? I added 2 other credit card accounts to this app 3 months ago (so that I can view those balances without moving out of 1 app to open another..a really good idea and USP by the way) all worked well until the 3 month re- authorisation rolled around a few weeks ago. I reauthorised my MBNA credit card account with no problems, ie: click the link in BOS app to open MBNA app to confirm authorisation then get taken back to BOS app... seamless, quick and secure. When I tried the same with my Barclaycard though.... oops! Instead of being redirected back to my BOS app my Halifax banking app gets opened automatically instead (and obviously the request to add Barclaycard to my open banking is never actioned)! I realise this may be a Barclaycard app issue but as the initial request originated from the BOS app then I guess it’s down to you to solve.",Mickeylick,Open banking module seems insecure,2020-05-06 18:53:22,"{'id': 24554346, 'body': ""Thank you for getting in touch, and we hope that this  issue has since been resolved for you.  Since you left this review in 2020, we've made a lot of improvements to our app. We'd love to know what you think. ~ Emma\r"", 'modified': '2021-08-17T10:51:53Z'}",False,1
8,"I find this app on my large screen iPhone is better and easier than using my PC, whether it’s checking transactions, making payments or managing standing orders and direct debits. (I use a PC double boot system on the PC so banking is done on a dedicated operating system rather than sharing with risky internet browsing - a safer and necessary ‘faff’.) The app is clear and functional, ideal for parallel viewing of account details and my own finance spreadsheets at the same time. The occasional need to check an account while out and about is easy using the selective password system and 4G (not someone else’s Wi-Fi, I hasten to add).",Bhuddabean,Happy Happy!,2018-03-17 14:03:56,"{'id': 24554343, 'body': ""Thank you for your review!  We were pleased to hear that our app has made banking easier for you.  We've continued to make improvements to our app since you left this review in 2018, we'd love to know what you think. ~ Emma\r"", 'modified': '2021-08-17T10:51:36Z'}",False,5
9,"BoS app is best internet bank app I have used so far. Very good as it allows account view, transfers, set up & manage standing orders plus quite a few features not on my other bank apps. Able to see upcoming payments too. Update to send notifications when transactions made in or out of account is a good addition. After a new account set up was able to see it after using the 'New +' button in My accounts. Most things are intuitive but some changes take me a bit of time to adjust to.",The mck,BoS bank app is good,2022-02-10 10:53:44,,False,5
10,"Do not even bother to download & try to use this app as it is useless. You cannot print directly from it as you could from the previous BoS app unless you go to the bother of creating a separate pdf file each time you want to print your up to date income and expenditure. You cannot see two separate columns showing incomings and outgoings as you could on the previous app, but instead there is just one column which has plus and minus signs beside each amount. Useless for anyone. The Bank of Scotland should be ashamed to have produced this. It is a backward step.
When I complained to the BoS about its shortcomings I was told to log in to my account via a web browser, so what exactly is the point of this app?",McTavish501,Useless app,2019-09-28 09:30:42,,False,3
11,"I haven’t been able to even get onto the app! So I can’t actually write a review on the app itself but getting set up I’ve had the worst experience. I set it up like normal and had my memorable information sorted and everything but when I was asked to log in after setting up it asked for the 7th letter of my memorable info when my memorable Information was a 6 lettered word. So I changed it over the phone, once tried again didn’t work. Changed it again over the phone twice this time deleting the app then downloading it again and it still didn’t work so I tried phoning up customer service and was left on hold for two hours so I gave up and tried a third time and now I’m locked out the account and despite me phoning up to get locked out like it told me to. That didn’t work either.",Gxminix,Terrible service,2019-01-26 14:10:48,"{'id': 7065208, 'body': ""Hi, sorry to hear you are having an issue with the app. Are you able to log into the secure area of our main banking website with your details? You may need to speak to one of the team to get your profile unlocked first. If once you've logged into the site but still can't log into the App could drop an email to mobileapps@lloydsbanking.com so we can investigate this? If you could include what you have and not been able to do, this will be a great help. Simon."", 'modified': '2019-01-29T13:29:29Z'}",False,1
12,"Very irritating indeed . I was locked out of the App as the fingerprint unlock on my iPad was legitimately changed to include my Wife’s. As a precaution ( wisely ) it locked me out . My “ memorable information”  is lost in the dim and distant , and so when I try to change the “ memorable information, it will not recognise my first character in the confirmation of my change, and hence the memorable information does not match. Tried this five times in succession. Is this deliberate. Bank of Scotland take away our local branches , and give us Apps that don’t work as a sop.",Borva Boy,Very Irritating,2020-10-05 06:34:48,,False,5
