,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOEfoM_PAk2huYxqXVNpnyJQ6DHBmNZSyVwMlOYee6f3ePGEJOUaYtMehtrF166lW34WRExHI1iqbpiteQ,Johnarchie Coull,https://play-lh.googleusercontent.com/a/AATXAJxUc10opsoWDq9oCFutOsKy-7yiaw2GTevEhl-q=mo,Very helpful,5,0,,2022-02-16 14:14:17,,
1,gp:AOqpTOGn_vIXY0HkE-K3sOYUTYz9aE5dmmUg581MGuGzQErhp_McBekeRtXP1VHb0DDMUq6kn-T2qCAgLKMx9g,Chinwe Ochin,https://play-lh.googleusercontent.com/a/AATXAJwT8l159wGG5tbycX1wiv6Gwu-3W8m6YhuEkU3I=mo,I am enjoying the app. It makes transaction easy for me.,5,0,84.05,2022-02-16 06:54:37,,
2,gp:AOqpTOFz-Th04wyvdJbMcBJR-IarDd4BuC6BfdY3f6-Kfo-d6c44rP0nLwC3MhYcVPHSPPvoSphyjxrn2VbFTw,Smart-speakers Organization,https://play-lh.googleusercontent.com/a-/AOh14Gifa4chofps9cKSgv8rwokmCLF3fTRrhxs8E0gf,Satisfactory,5,0,84.05,2022-02-16 01:12:50,,
3,gp:AOqpTOEOZMcCGehTd7VfnxDUV2k8D_bmq0zeFcgcVKZGjt98Kw93NzjZsDcll1cO3PkWqCECtE-_l2xywyyV7Q,Gordon McEwen,https://play-lh.googleusercontent.com/a/AATXAJwE1R1ByYPk31TzaBoF38sUVWwkNSl0AAUpnx-NXA=mo,Excellent,5,0,84.05,2022-02-15 20:21:37,,
4,gp:AOqpTOEycRKohd2qY6tGeWmTdmaSuP6wmzpP1y_5SmBykB7gUOI9WnwXfGG5nzGVan06HUmS4Ku-5WKRZHzj4w,Craig M,https://play-lh.googleusercontent.com/a/AATXAJzDTGcWvoPL3FJhT_34XjoMcm-ukqHxs8OSR3GV9g=mo,Most important app I use,5,0,83.02,2022-02-15 19:32:00,,
5,gp:AOqpTOFY6ATuThEQZ5KGRNrxwfFLGp3cDpAXqcyBfx-KiGafAU_0IpBiMZPzMZS8S7TX4IctjI0x6-D2ApKrIA,Allan,https://play-lh.googleusercontent.com/a/AATXAJwRjq-UUipSs04nO1O6loRuDZghkADi8SN2Ukt4=mo,App works fine but am sick of not being able to sort unread messages. I don't care about messages for statements but unable to mark them as read and when I try to archive them they still sit in the inbox.,1,0,84.05,2022-02-15 13:02:54,,
6,gp:AOqpTOGm7nk_N7JrO_td4eh4xPi6euJcb8o9Szjz4XkB63or0hhFHoUQ2H6d49y3g-cOs9NmrmX1hsB8zLIOqQ,Keith Allan,https://play-lh.googleusercontent.com/a/AATXAJyJD1uIsMjbci6YJi2X21AUMMOlICPnZKSr9XoG=mo,Keeps crashing,1,0,84.05,2022-02-15 10:17:40,,
7,gp:AOqpTOHiw1njMmlDPjxFSmPUCur-PafZHUAKXrEDdYEWvX394emSFitn6XbTPeHY6RF_DFtN8hHLMPMi5bI1wQ,Rod McLeod,https://play-lh.googleusercontent.com/a/AATXAJx3oQwVUE3D0J6_Ld_CanbdgKc-TrDGKsFoZmH-=mo,Really easy to use!,5,0,84.05,2022-02-14 19:52:15,,
8,gp:AOqpTOHYmezJ_CJimz4iRMrK13qEgMfI0V_rfeUxzFOrDDgXzgjFlZSQNAUJsx3jTioIDvXJzQOvqMNuQ5kgAw,Shiona Watson,https://play-lh.googleusercontent.com/a-/AOh14GiseFNHc8F8m_4UuIDNe_5X5kFCy-VCyBIZKnmv,Quick and efficient,5,0,84.05,2022-02-14 19:02:51,,
9,gp:AOqpTOHn546-l1fVbhzXW9Yz0DbIprO8mWUwxrBUZZgybhN6DvpyN18R75YJnx_fgH6onywEdtXn2E6tCrZSAQ,James Weir,https://play-lh.googleusercontent.com/a/AATXAJzueBeKfLIXqOwSpv6lTxgldFKN6e_cA4JpL2OT=mo,"User for a long time, very easy to use and navigate",5,0,84.05,2022-02-14 19:01:19,,
10,gp:AOqpTOERqTMjgMswCaV9hpW3cnFRQWK2WUYD7P4vajnE3uyLUp_TEaT0m83Y56pinG7ovMhHcIIC14t2n8eB5Q,Maureen Reynolds,https://play-lh.googleusercontent.com/a-/AOh14GjHxWfTaZhpEDXe_YkC-JFogE_yuXa-BFsBceHjUQ,Good app your money is always visible and you get notifications to tell you about your transactions.,4,0,84.05,2022-02-14 16:32:21,,
